Tamable,Rideable,Breedable,Name,Health_alias,Stamina_alias,Oxygen_alias,Food_alias,Weight_alias,MeleeDamage_alias
true,true,true,'Angler','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Ankylosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Araneo','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Archaeopteryx','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Argentavis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Arthropluera','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Attack Drone','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Baryonyx','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Basilisk','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Basilosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Beelzebufo','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Brontosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Broodmother Lysrix','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Bulbdog','Health','Charge Capacity','Charge Regeneration','Food','Weight','Charge Emission Range'
true,true,true,'Carbonemys','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Carnotaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Castoroides','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Chalicotherium','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Cnidaria','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Coelacanth','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Compy','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Daeodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Deathworm','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Defense Unit','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Deinonychus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Desert Titan','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Dilophosaur','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Dimetrodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Dimorphodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Diplocaulus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Diplodocus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Direbear','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Direwolf','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Dodo','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Doedicurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Dragon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Dung Beetle','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Dunkleosteus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Electrophorus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Enforcer','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Equus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Eurypterid','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Featherlight','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Forest Titan','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Gallimimus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Gasbags','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Giant Bee','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Giganotosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Gigantopithecus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Glowbug','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Glowtail','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Griffin','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Hesperornis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Hyaenodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Ice Titan','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Ichthyornis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Ichthyosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Iguanodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Jerboa','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Jug Bug','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Kairuku','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Kaprosuchus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Karkinos','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Kentrosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'King Titan','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Lamprey','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Leech','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Liopleurodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Lymantria','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Lystrosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Mammoth','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Managarmr','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Manta','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Manticore','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Mantis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Megalania','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Megaloceros','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Megalodon','Health','Stamina','N/A','Food','Weight','Melee Damage'
true,true,true,'Megalosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Meganeura','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Megapithecus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Megatherium','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Mesopithecus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Microraptor','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Morellatops','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Mosasaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Moschops','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Nameless','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Onyc','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Otter','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Overseer','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Oviraptor','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Ovis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Pachy','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Pachyrhinosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Paraceratherium','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Parasaur','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Pegomastax','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Pelagornis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Phiomia','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Phoenix','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Piranha','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Plesiosaur','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Procoptodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Pteranodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Pulmonoscorpius','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Purlovia','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Quetzal','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Raptor','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Ravager','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Reaper','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Rex','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Rock Drake','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Rock Elemental','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Roll Rat','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Royal Griffin','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Sabertooth','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Sabertooth Salmon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Sarco','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Seeker','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Shinehorn','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Snow Owl','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Spinosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Stegosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Tapejara','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Terror Bird','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Therizinosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Thorny Dragon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Thylacoleo','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Titanoboa','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Titanomyrma','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Titanosaur','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Triceratops','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Trilobite','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Troodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Tusoteuthis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Unicorn','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Velonasaur','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Vulture','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Woolly Rhino','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Wyvern','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Yeti','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Yutyrannus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
